n,average time
10.0, 107509.1
110.0, 108905.2
210.0, 112825.4
310.0, 92592.7
410.0, 27720.3
510.0, 24490.3
610.0, 30371.4
710.0, 27834.9
810.0, 24083.0
910.0, 25238.5
1010.0, 24373.8
1110.0, 27998.4
1210.0, 30099.9
1310.0, 31645.2
1410.0, 25385.8
1510.0, 31646.4
1610.0, 31122.2
1710.0, 37297.5
1810.0, 42170.7
1910.0, 251930.5
2010.0, 21392.3
2110.0, 10781.8
2210.0, 4963.7
2310.0, 5004.5
2410.0, 5264.7
2510.0, 5266.8
2610.0, 4956.1
2710.0, 4910.4
2810.0, 5341.5
2910.0, 7176.1
3010.0, 5168.0
3110.0, 22347.5
3210.0, 14717.0
3310.0, 15335.9
3410.0, 16115.0
3510.0, 14689.0
3610.0, 14388.7
3710.0, 14529.3
3810.0, 14688.9
3910.0, 18835.3
4010.0, 7188.0
4110.0, 4690.9
4210.0, 5961.8
4310.0, 5338.9
4410.0, 4900.1
4510.0, 5604.1
4610.0, 5142.4
4710.0, 5207.5
4810.0, 5874.7
4910.0, 5096.4
5010.0, 5608.4
5110.0, 6226.3
5210.0, 8111.1
5310.0, 7784.9
5410.0, 6363.7
5510.0, 16940.2
5610.0, 22386.4
5710.0, 28995.8
5810.0, 23251.0
5910.0, 19297.9
6010.0, 17779.4
6110.0, 16372.0
6210.0, 17206.3
6310.0, 17947.8
6410.0, 14557.1
6510.0, 19141.9
6610.0, 19262.6
6710.0, 18715.0
6810.0, 19671.5
6910.0, 16202.5
7010.0, 18592.0
7110.0, 14751.8
7210.0, 31335.6
7310.0, 28341.7
7410.0, 16375.8
7510.0, 15630.9
7610.0, 16945.1
7710.0, 13405.9
7810.0, 8915.3
7910.0, 6710.0
8010.0, 5515.4
8110.0, 5830.5
8210.0, 6130.6
8310.0, 5847.4
8410.0, 5876.6
8510.0, 5703.0
8610.0, 12063.4
8710.0, 6281.1
8810.0, 5979.5
8910.0, 6658.8
9010.0, 5883.3
9110.0, 6780.9
9210.0, 6133.6
9310.0, 6320.4
9410.0, 6773.3
9510.0, 8168.3
9610.0, 6273.0
9710.0, 12682.4
9810.0, 6202.5
9910.0, 6140.8
