n,average time
10.0, 130408.2
110.0, 85531.3
210.0, 83872.7
310.0, 80620.7
410.0, 24604.4
510.0, 30498.4
610.0, 26754.6
710.0, 25816.7
810.0, 23891.8
910.0, 30028.5
1010.0, 23890.6
1110.0, 30386.1
1210.0, 41526.3
1310.0, 35983.7
1410.0, 25318.4
1510.0, 25667.2
1610.0, 31876.0
1710.0, 41593.7
1810.0, 41350.5
1910.0, 255747.1
2010.0, 23834.2
2110.0, 13359.4
2210.0, 11203.4
2310.0, 9769.9
2410.0, 8509.3
2510.0, 6022.1
2610.0, 6658.5
2710.0, 6278.6
2810.0, 6265.1
2910.0, 6280.4
3010.0, 6346.3
3110.0, 27451.4
3210.0, 17667.2
3310.0, 16863.1
3410.0, 16419.7
3510.0, 15995.4
3610.0, 18809.2
3710.0, 17071.2
3810.0, 15931.1
3910.0, 20497.5
4010.0, 8366.4
4110.0, 7420.8
4210.0, 6908.4
4310.0, 6019.9
4410.0, 9038.9
4510.0, 10040.4
4610.0, 8003.8
4710.0, 6138.2
4810.0, 8928.1
4910.0, 6235.9
5010.0, 7368.5
5110.0, 9841.3
5210.0, 10012.9
5310.0, 6500.9
5410.0, 6208.3
5510.0, 14625.7
5610.0, 28891.6
5710.0, 20453.5
5810.0, 16215.2
5910.0, 15648.7
6010.0, 15831.8
6110.0, 18569.3
6210.0, 17972.5
6310.0, 15634.1
6410.0, 29044.7
6510.0, 16824.4
6610.0, 16217.2
6710.0, 17567.4
6810.0, 15778.6
6910.0, 15957.2
7010.0, 15590.2
7110.0, 17868.1
7210.0, 20084.0
7310.0, 23600.8
7410.0, 23197.5
7510.0, 24095.2
7610.0, 20468.9
7710.0, 12982.6
7810.0, 9630.8
7910.0, 7003.6
8010.0, 9306.7
8110.0, 6104.3
8210.0, 6428.9
8310.0, 7803.8
8410.0, 6244.7
8510.0, 5892.5
8610.0, 10575.6
8710.0, 7274.5
8810.0, 7320.3
8910.0, 7247.0
9010.0, 7160.6
9110.0, 8298.8
9210.0, 16888.1
9310.0, 7306.8
9410.0, 7454.9
9510.0, 7523.5
9610.0, 8054.8
9710.0, 7312.5
9810.0, 7232.2
9910.0, 7358.6
